Years','Stahle et al. (1998)','Mann et al. (2000)','Li et al. (2011) NADA PC1','Li et al. (2013) Tree-rings PC1','Freund et al. (2019) NCT DJF','Freund et al. (2019) NWP DJF','Freund et al. (2019) Nino4 DJF','Freund et al. (2019) Nino3 DJF','Stahle et al. (1993)','Cook et al. (2008) Nino12','Cook et al. (2008) Nino3 ','Cook et al. (2008) Nino34 ','Cook et al. (2008) Nino4','Geay et al. (2013) Nino3','McGregor et al. (2010) ','Tierney et al. (2015) East','Tierney et al. (2015) West','Braganza et al. (2009) Multiproxy R5','Braganza et al. (2009) Multiproxy R8','DArrigo et al. (2005) Nino3','Wilson et al. (2010) Nino34 COACPR','Wilson et al. (2010) Nino34 COAPCR','Wilson et al. (2010) Nino34 TelecPCR TEL','Wilson et al. (2010) Nino34 TelecREGEM TEL','Wilson et al. 2010 Nino34 zscoreCOA','Wilson et al. (2010) Nino34 zscoreTEL','Datwyler et al. (2020) ENSO DJF','Datwyler et al. (2019) FullPeriod PC1','Torbenson et al. (2019) eMEIall','Torbenson et al. (2019) eMEIstable','Zhu et al. (2022) Corals Li13b6','Zhu et al. (2022) Corals','Zhu et al. (2022) Li13b6.','Zhu et al. (2022) Ocn2kCorals Li13b6','Liu et al. (2024) PCR','Liu et al. (2024) DD','Falster et al.(2023)','ERSST Nino34','HadISST Nino34','ISOI','ICPC SOI'
1646,NaN,NaN,0.557,1.2845,-0.66516,-0.45074,-0.62176,-0.6613,NaN,1.4432,1.5735,1.5299,1.3814,0.49648,NaN,-1.1417,1.1227,0.43789,NaN,0.42249,0.15261,0.1286,1.4763,1.5635,0.17342,1.5995,0.59607,0.17587,NaN,NaN,0.47197,-0.30569,0.66652,0.45231,-0.98251,-1.3929,1.5379,NaN,NaN,NaN,NaN
1647,NaN,NaN,1.34,2.2068,-0.095008,0.073286,-0.073816,-0.012753,NaN,0.4762,0.21346,0.13035,0.02212,0.99079,NaN,0.14643,0.164,0.6569,NaN,0.75801,0.49068,0.5145,-0.34271,0.70555,0.37864,-0.022771,0.25627,0.15187,NaN,NaN,1.2736,-0.30569,1.7184,1.2098,0.722,-0.86565,1.1641,NaN,NaN,NaN,NaN
1648,NaN,NaN,-2.14,-0.24847,-0.5505,-0.49004,-0.58751,-0.56522,NaN,-2.0518,-2.0604,-2.0185,-1.9064,-0.99741,NaN,-0.00097886,1.3002,-0.68152,NaN,-1.2366,-1.2262,-1.4454,0.30837,0.045631,-1.4108,0.22282,-1.6687,-1.0304,NaN,NaN,-1.1312,-0.45887,-1.2269,-1.0627,0.2651,-0.56686,0.21372,NaN,NaN,NaN,NaN
1649,NaN,NaN,0.274,0.50037,-0.30842,-0.35903,-0.38203,-0.32501,NaN,0.63296,0.90153,0.99368,1.0597,-0.63181,NaN,-0.78272,0.78466,-0.10559,NaN,0.55423,-1.504,-1.7629,1.1488,1.0233,-1.5389,1.1738,0.63141,0.58699,NaN,NaN,-0.83062,-1.378,-0.38539,-0.77861,0.6791,0.18337,0.41507,NaN,NaN,NaN,NaN
1650,NaN,0.049357,0.058997,-0.85151,-2.3374,-1.263,-1.9916,-2.2947,NaN,0.92174,0.86122,0.83394,0.88296,0.24864,0.34399,-2.008,-1.0694,0.40544,NaN,0.5604,-0.23045,-0.30889,-1.0999,-1.3698,-0.26217,-1.2933,-0.34621,1.597,NaN,NaN,-1.9328,-2.9098,-1.1217,-1.8202,-0.022457,-0.1092,0.2403,NaN,NaN,NaN,NaN
1651,NaN,0.88744,2.332,1.448,-0.37212,-0.37213,-0.45053,-0.39708,NaN,1.9745,1.9887,2.0028,2.0054,1.3276,1.254,-0.89068,-0.45867,1.7763,NaN,1.7234,0.24284,0.23152,1.0725,1.3714,0.13634,1.2386,1.8171,2.7172,NaN,NaN,0.47197,-1.6844,1.1925,0.45231,2.2099,1.3011,0.36216,NaN,NaN,NaN,NaN
1652,NaN,2.4648,0.349,0.43189,0.52611,0.53836,0.57687,0.58775,NaN,0.47455,0.35322,0.37375,0.30671,0.32806,0.69199,-0.43464,-0.20355,-0.26783,NaN,0.55629,1.3962,1.5481,-0.33575,-0.093046,1.5962,-0.29449,0.10039,1.729,NaN,NaN,-0.029025,0.00068007,-0.069816,-0.021123,-2.7318,-1.9989,-0.34849,NaN,NaN,NaN,NaN
1653,NaN,0.97447,-1.129,-1.8842,1.3957,1.2916,1.5015,1.5005,NaN,-1.9231,-1.9086,-1.912,-2.0672,-0.16078,-0.59902,1.1243,0.16133,-1.3386,NaN,-1.9611,0.72006,0.77628,-0.95815,-0.63365,0.59797,-0.93501,-1.9646,0.52088,NaN,NaN,-1.1312,1.3793,-2.0684,-1.0627,-0.18829,-0.96357,-0.38731,NaN,NaN,NaN,NaN
1654,NaN,-0.55928,-2.918,-0.39095,0.78093,0.87242,0.91933,0.87599,NaN,-1.4214,-1.3387,-1.3174,-1.3283,-0.029325,-0.59602,1.4626,0.050421,-1.5495,NaN,-1.6688,0.088692,0.055555,0.035462,-0.45015,0.09532,-0.14764,-1.2638,-0.38421,NaN,NaN,-0.93081,0.15386,-1.2269,-0.87329,0.36396,0.64825,-0.076405,NaN,NaN,NaN,NaN
1655,NaN,0.10707,0.807,0.24744,-0.63968,-0.50314,-0.65601,-0.6613,NaN,1.1957,1.2106,1.0811,0.86528,-0.21692,0.16398,-0.70437,-0.039076,-0.43006,NaN,0.74977,-0.77159,-0.92644,1.1817,1.4648,-0.8392,1.3505,0.80036,-1.1983,NaN,NaN,-0.029025,-0.45887,0.14057,-0.021123,0.76518,0.6438,-1.0409,NaN,NaN,NaN,NaN
